"variable"	"index"
"Disease1"	-2.294995
"Disease2"	-3.269197
"Disease3"	-6.427514
"Disease4"	-2.958312
"Disease5"	-1.609319
"Disease6"	-4.075045
"Disease7"	-1.687096
"Disease8"	-1.672276
"Disease9"	-5.924719
"Disease10"	-0.144724999999999
"Disease11"	-3.814758
"Disease12"	-3.88286
"Disease13"	-3.018893
"Disease14"	-2.567269
"Disease15"	-5.40719
"Disease16"	-2.317868
"Disease17"	-0.194030000000001
"Disease18"	-1.97129
"Disease19"	0.280291
"Disease20"	-0.724563000000001
"Disease21"	0.425981
"Disease22"	-1.990732
"Disease23"	-0.180713000000001
"Disease24"	-3.329036
"Disease25"	-10.944601
"Disease26"	-5.449786
"Disease27"	-1.104617
"Disease28"	-6.165213
"Disease29"	-1.847348
"Disease30"	-3.79453
"Disease31"	0.874936
"Disease32"	0.855150999999999
"Disease33"	-1.703657
"Disease34"	-1.374519
"Control1"	-13.190165
"Control2"	-3.75753
"Control3"	-7.960811
"Control4"	-1.675673
"Control5"	-10.463498
"Control6"	-2.749633
"Control7"	-3.862846
"Control8"	-6.350716
"Control9"	-3.01417
"Control10"	-6.477944
"Control11"	-1.783691
"Control12"	-11.770384
"Control13"	-7.634162
"Control14"	-5.133044
"Control15"	-6.570062
"Control16"	-4.098662
"Control17"	-0.197946999999999
"Control18"	1.615272
"Control19"	-12.717382
"Control20"	-6.735019
"Control21"	-3.700608
"Control22"	-2.153372
"Control23"	-8.35549
"Control24"	-9.002646
"Control25"	-5.131804
"Control26"	-1.627133
"Control27"	-3.256394
"Control28"	-0.747889
"Control29"	-0.767941
"Control30"	-8.060955
"Control31"	-1.49869
"Control32"	-6.266678
"Control33"	-3.488014
"Control34"	-3.393508
