"Disease1"	"Disease2"	"Disease3"	"Disease4"	"Disease5"	"Disease6"	"Disease7"	"Disease8"	"Disease9"	"Disease10"	"Disease11"	"Disease12"	"Disease13"	"Disease14"	"Disease15"	"Disease16"	"Disease17"	"Disease18"	"Disease19"	"Disease20"	"Disease21"	"Disease22"	"Disease23"	"Disease24"	"Disease25"	"Disease26"	"Disease27"	"Disease28"	"Disease29"	"Disease30"	"Disease31"	"Disease32"	"Disease33"	"Disease34"	"Control1"	"Control2"	"Control3"	"Control4"	"Control5"	"Control6"	"Control7"	"Control8"	"Control9"	"Control10"	"Control11"	"Control12"	"Control13"	"Control14"	"Control15"	"Control16"	"Control17"	"Control18"	"Control19"	"Control20"	"Control21"	"Control22"	"Control23"	"Control24"	"Control25"	"Control26"	"Control27"	"Control28"	"Control29"	"Control30"	"Control31"	"Control32"	"Control33"	"Control34"	"ID"
"7-Methoxy-5-Prenyloxycoumarin"	44115.288	60488.118	184068.906	51644.424	78440.684	69939.335	67818.222	2041.008	1313.052	1748.078	4891.715	3783.663	1857.654	729693.644	29220.958	45508.153	355397.862	16545.655	1470641.477	13177.791	61367.723	17456.83	4283238.11	1343377.323	45019.995	1925187.701	3967169.766	8070385.651	5791.118	127251.079	1100621.614	216219.99	1352013.103	41513.519	781813.261	21360.422	631183.526	248296.316	2629.44	1602.995	98882.993	34794.219	641626.051	89883.623	895626.066	15116.263	848864.317	1169067.317	195681.402	29360.51	15994.604	32996.387	14169.454	163338.021	73521.208	22431.407	47435.577	108862.132	171453.156	129146.311	65001.033	23468.814	53541.486	30907.449	67039.256	14889.562	44248.831	28619.224	"7-Methoxy-5-Prenyloxycoumarin"
"Tomatidenol (Dehydrotomatidine)"	1425913.976	2711689.562	1346784.982	3848560.886	5392566.146	3672321.809	1883452.843	3290696.27	4914766.845	4745310.175	5459523.058	5004118.555	6055977.934	3824435.297	6707168.384	3211971.667	6411587.657	4857805.926	2056232.452	2938334.908	5729111.079	1529153.097	2514291.843	1683502.904	1960906.944	1960329.271	2901237.954	1484348.664	1501127.54	1467408.734	1179608.513	1982722.145	1777543.282	3302310.26	6620411.958	2970646.92	8139512.104	1982037.568	1387493.073	6792410.875	876132.168	1347895.835	1212484.454	1171661.994	1207895.125	1042982.697	1779941.421	1624273.379	2094724.202	1545537.11	3703222.762	1090183.849	6067551.269	1184392.284	2085010.803	2490165.689	2324826.339	2158993.34	1062235.085	1369116.134	1001669.984	991771.708	5182686.564	1212813.092	7765629.587	1064467.016	1644895.41	1508319.003	"Tomatidenol (Dehydrotomatidine)"
"Solasodine"	2434367.985	1128628.655	1166388.239	2271355.441	1777450.327	1794907.905	1619186.376	1062555.539	2257796.232	3132657.524	3169915.404	1742454.603	1375679.102	3132462.552	3192280.752	1673871.894	2402024.574	3622695.605	1603545.679	1815335.942	2469005.217	1479357.896	1667012.323	1399993.456	1186474.221	889569.011	2283035.672	1408342.09	1450659.908	2012258.478	1345920.961	1512037.353	1976886.407	2589504.673	2004878.681	2469769.811	2039750.852	2475968.567	849425.52	3517606.381	975705.124	688421.205	768192.396	770276.368	1346339.972	766898.483	1059041.293	1084862.521	892472.991	1127391.714	2018989.372	670909.239	2240068.238	784773.755	1231173.275	1221749.064	1719815.506	1536469.208	752307.396	822459.028	1109823.759	615102.754	3858738.456	812657.734	1425617.395	698097.153	1413756.403	633314.226	"Solasodine"
"Solasodine-3-O-glucoside"	5513473.474	2078878.74	3942215.854	6859773.811	4934504.931	4247451.903	2423731.171	5162701.864	6863017.487	7826533.281	6103444.886	5900213.699	4129900.888	2540744.054	6622763.368	1165343.148	3274749.472	4660393.684	2510398.922	1319104.072	2881645.859	3263559.096	1354261.716	1554695.601	1348065.002	2275773.374	1362218.817	1721887.046	2071373.722	2577335.02	9816043.401	1904373.515	2763185.619	2199547.161	6005631.523	749615.351	2503416.437	2080299.828	2913072.297	4300605.712	941053.972	778642.271	1092464.824	1196029.02	2666193.036	1226788.501	2382936.423	426662.375	3282984.899	1355960.249	2859072.034	1729616.328	3244810.502	4381566.748	685234.998	2318513.916	1403735.237	1392040.552	1090235.424	650997.876	912809.128	1380701.383	1394830.221	1195508.01	2442890.93	1469640.728	1416545.048	1962166.538	"Solasodine-3-O-glucoside"
"Solasodine 3-O-β-D-glucopyranoside"	23252712.82	11977444.03	17213293.61	22735558.76	13891154.61	17316528.34	16065025.29	20199699.46	24192603.68	27787120.05	25648398.8	26409873.5	23351273.28	25127843.55	27925991.74	20449731.57	19393834.12	32155961.61	16538295.25	6556690.984	21661427.39	18284480.7	8989529.042	13219780.37	11461689.21	13111920.41	7868605.833	9867153.003	10811018.3	16600202.68	16062772.03	12469848.04	16065149.74	11898357.01	14277837.05	5131359.779	17245786.24	13285795.26	17238378.17	21673010.41	6993116.208	3208281.144	5767532.212	7214941.021	11844001.23	8672728.013	13690937.83	8505624.19	17172123.14	17756767.79	21329490.68	9059284.574	25080440.51	19079613.23	6055574.793	15094606.86	8128483.171	7406339.784	4566603.817	2874961.16	8680269.541	5357693.101	11198880.6	9220074.13	28315453.92	9624975.826	4701906.842	10674071.89	"Solasodine 3-O-β-D-glucopyranoside"
"Lyciumamide N"	820890.469	1185207.255	617194.272	740452.288	1026542.534	504182.003	401387.672	404903.942	170950.31	683390.561	424171.946	1067835.96	362324.792	1261805.159	386237.336	1450190.544	928831.136	1221114.802	1073532.342	939082.159	756766.61	718557.693	1601704.972	2402210.248	1096894.667	1524270.126	1281517.023	954069.838	1832696.201	1011230.93	1112604.319	3633231.983	1238053.177	794204.608	1083593.126	2301180.557	1880293.688	511510.195	659973.012	886926.29	1153914.492	1968813.996	2903192.644	1562189.629	3155286.243	1530232.432	865245.269	2140674.4	1485217.38	1985316.416	618396.48	1619912.45	1132217.089	1133854.072	1984783.298	1638816.783	1725393.681	2124771.785	1563934.439	1839821.76	338396.989	1618763.588	2373132.811	969050.043	1177320.323	1012985.298	1229611.821	1366837.247	"Lyciumamide N"
"Solasodine-3-O-(2''-xyloyl)glucoside"	1579244.839	661446.625	826819.622	1738626.05	775819.635	1060508.073	913209.167	1206786.58	1681357.444	1982322.971	1440658.87	1731835.548	1048732.82	1297809.127	1319933.135	1058733.025	1053874.16	2108319.522	915983.389	525517.583	1372011.141	1235969.412	603486.785	802514.466	917974.121	881611.983	597697.385	547309.114	701645.91	1118569.076	996680.673	702338.626	1028628.763	881146.753	963074.899	445660.833	1015904.268	767628.152	1073649.71	1390259.988	512540.096	272054.518	375540.289	503725.377	712456.772	485805.987	752566.799	473799.521	891503.164	1111698.542	1061920.988	560683.388	1938082.321	1216426.014	342283.574	804489.887	503402.544	449683.536	284234.697	180542.343	597104.221	480030.647	587565.42	662627.918	1225553.136	692256.702	386487.52	653267.265	"Solasodine-3-O-(2''-xyloyl)glucoside"
"Khasianine"	34183341.08	12433455.42	14452575.09	31370291.63	21090306.13	21696382.04	16694926.04	22906595.16	32857959.09	34767787.73	31864211.08	25234627.76	20667019.12	22254467.55	28602217.44	19746324.8	22697089.11	41854602.53	20773501.87	11169604.87	31924854.4	27165156.27	11740789.98	16621572.03	14242744.53	15377541.24	10363160.55	11706368.91	15694958.2	22968317.44	24399790.86	14637125.4	22401210.68	21169869.79	15995424.51	6645064.123	19210188.74	19590216.06	18014017.14	31904139.29	8667268.68	4259331.047	7131959.14	5459570.233	14383183.15	10497133.37	12774002.35	10073710.68	16024099.32	21232516.47	23520980.04	9044097.711	42161399.6	22688261.84	5650101.269	15398101.76	10482216.3	9949780.692	4924693.198	3112677.899	10530667.04	7320580.426	9175195.32	11288102.35	23144350.65	9988583.036	7786642.36	14219685.87	"Khasianine"
"Indioside H"	4970251.54	2706067.602	3733780.34	7599943.953	6570343.916	3327501.79	491199.109	4031241.409	3834589.192	3171067.489	8013882.166	2897177.453	2758371.778	1322682.365	1589714.864	453760.909	2672492.372	1055657.918	2333237.19	504899.571	1132527.696	1548280.599	1563108.232	553687.261	645236.248	1652701.189	1363530.462	743060.873	564298.641	1654869.011	1132822.882	2716489.08	1859253.389	1082107.516	11317101.29	397411.803	1761096.747	375387.04	498221.32	1553254.556	843528.292	1058142.809	787670.575	821182.387	857872.128	552166.219	1366734.703	207654.184	1921989.527	758067.078	1019334.055	561923.021	1975198.144	933164.354	803062.042	1084649.691	1283764.286	1182412.652	620941.113	563685.982	215379.511	1773873.666	1145525.445	1291441.488	2949903.516	984846.474	2252862.872	819497.481	"Indioside H"
"Prosapogenin A"	662731.746	206902.681	547535.402	1055349.418	1358721.631	794213.883	80761.925	930321.057	458756.229	847331.295	984664.965	1321523.086	517162.191	404776.796	562146.583	734888.238	601757.841	3259899.111	374176.592	407096.461	392000.908	327644.061	274786.704	188337.319	228365.276	399764.991	858851.587	544115.978	94553.121	642798.843	461624.504	729810.082	872642.163	383631.906	640274.097	146679.753	544383.975	454513.061	213284.044	529045.763	287449.2	615982.387	225876.722	197542.663	147994.674	137490.869	463881.487	128244.556	605653.157	363269.807	467557.386	144900.151	535498.599	326199.984	386027.938	357096.003	508760.893	416547.201	219748.386	210564.387	127074.449	361602.321	609553.537	335856.735	704740.839	227890.173	352192.371	235198.26	"Prosapogenin A"
"Methyldiosgenin 3-O-Glucoside-Rhamnoside-Rhamnoside-Xyloside"	903996.406	1663216.435	863040.139	1114786.302	250787.834	286920.29	1071640.821	280422.192	384578.537	118963.314	52953.186	2691009.529	118289.668	353168.794	108527.568	824250.658	197018.7	798403.663	2333986.104	4455596.784	221623.326	701126.241	1355549.814	2385215.969	530744.339	983412.235	2358518.337	847515.914	1858767.417	1339264.862	2205202.904	1505444.537	1608103.824	129330.849	416692.764	363742.387	478885.584	819326.742	247943.741	346380.999	745354.8	959851.94	1256162.381	916835.801	1511745.265	850049.351	586843.286	1132790.052	818079.335	517030.425	1325813.057	265435.4	384868.108	1052633.265	1005860.567	781836.697	1333290.968	1343537.369	521502.538	1207071.797	703768.391	629708.462	174228.595	591594.719	170574.162	311323.191	1648435.451	822534.973	"Methyldiosgenin 3-O-Glucoside-Rhamnoside-Rhamnoside-Xyloside"
"Sceptrumgenin 3-O-Glucoside-Rhamnoside-Rhamnoside-Glucoside"	1767292.203	926763.505	526051.483	1624039.467	1135481.318	868948.32	691618.508	736657.453	1548072.843	1544173.331	1927214.506	1038755.995	706557.926	1188194.533	916019.164	1002694.794	537018.307	1830527.034	1147641.706	1056299.774	1141749.623	1044353.48	574445.758	635263.013	551664.104	578144.578	1540179.293	675836.874	738599.653	1166632.31	868582.879	838765.666	1412005.489	927683.861	1045452.701	404647.458	1099415.43	1182453.006	573131.53	1134973.891	523486.825	203826.425	589183.168	337657.89	436561.273	435936.874	789708.484	425322.362	532902.647	690288.573	1394590.961	637390.341	2305279.186	883588.387	384772.569	609841.785	701576.692	1252357.95	473198.077	283266.891	270123.242	821312.162	783787.839	384706.439	2377799.817	444857.033	638004.712	328949.329	"Sceptrumgenin 3-O-Glucoside-Rhamnoside-Rhamnoside-Glucoside"
