"Species_ID"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"114416"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactococcus phage ul36"
"120574"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Streptococcus phage MM1"
"128975"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Salmonella phage Fels-1"
"129009"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Biseptimavirus"	"Staphylococcus prophage phiPV83"
"129861"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Phage Gifsy-1"
"129862"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Phage Gifsy-2"
"130478"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Triavirus"	"Staphylococcus virus phiSLT"
"139871"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Unclassified"	"Lactobacillus prophage Lj771"
"146269"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactobacillus phage Lc-Nu"
"151534"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactococcus phage bIL311"
"151535"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactococcus phage bIL285"
"151536"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactococcus phage bIL286"
"151537"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactococcus phage bIL309"
"151538"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactococcus phage bIL310"
"151539"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactococcus phage bIL312"
"157239"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Hpunavirus"	"Haemophilus virus HP2"
"157924"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Streptococcus phage SM1"
"169683"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Phikzvirus"	"Pseudomonas virus phiKZ"
"173443"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Lederbergvirus"	"Salmonella virus ST64T"
"173707"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Temperate phage phiNIH1.1"
"175950"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Unclassified"	"Salmonella phage ST64B"
"186152"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Triavirus"	"Staphylococcus virus phi12"
"186153"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Biseptimavirus"	"Staphylococcus virus 13"
"187764"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Autographiviridae"	"Vectrevirus"	"Escherichia virus K1-5"
"190478"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Clostridium phage phi3626"
"194701"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Felsduovirus"	"Salmonella virus Fels2"
"194966"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Autographiviridae"	"Zindervirus"	"Salmonella virus SP6"
"196242"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Enterobacteria phage BP-4795"
"198539"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Streptococcus phage 315.2"
"198541"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Streptococcus phage 315.4"
"215167"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Triavirus"	"Staphylococcus virus 3a"
"221029"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Lederbergvirus"	"Enterobacteria phage ST104"
"223323"	"Cressdnaviricota"	"Repensiviricetes"	"Geplafuvirales"	"Geminiviridae"	"Begomovirus"	"Squash leaf curl China virus"
"225979"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Staphylococcus phage phiN315"
"227940"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Peduovirus"	"Yersinia virus L413C"
"230158"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Unclassified"	"Haemophilus phage Aaphi23"
