"ID"	"Observed_species"	"Chao1"	"ACE"	"Shannon"	"Simpson"	"Pielou_J"	"Good_coverage"
"Disease1"	68	68	68	2.96776178707697	0.912654316551815	0.703343137266083	1
"Disease2"	43	43	43	0.0651247379526599	0.0193222165808218	0.0173148824708708	1
"Disease3"	154	159.625	159.036811144394	3.46829595457776	0.947186354714591	0.688570298024208	0.999675535366645
"Disease4"	62	62	62	2.90172199508331	0.924601856473121	0.703083961985311	1
"Disease5"	75	75	75	3.06588231548651	0.926009580274848	0.710107876353909	1
"Disease6"	75	75	75.2247191011236	2.95893439575321	0.918355575575072	0.685337010303809	0.999992834623101
"Disease7"	54	54.6	55.6487769955853	2.9210184148812	0.913884246578784	0.732271270274215	0.999388628489912
"Disease8"	75	75	75.5853144236983	2.94783114139163	0.916759318922759	0.682765317210604	0.999921544013808
"Disease9"	94	98.6666666666667	100.07883215582	3.4851194390057	0.960388484144533	0.767090758144556	0.999865067719138
"Disease10"	55	58	56.732915851272	2.69613046702882	0.894648974777799	0.672799176510803	0.999770576426728
"Disease11"	46	46	46	3.26765096753373	0.946006850823663	0.853475326921503	1
"Disease12"	91	91.1666666666667	91.5625894472653	2.90271806793466	0.883566427917162	0.643495560821856	0.999860646599777
"Disease13"	62	167	81.8775510204082	0.547336047356812	0.163709208747399	0.132618906071999	0.999768350501135
"Disease14"	52	52	52.6321142714042	2.33534237829236	0.86223967127205	0.5910398205279	0.999983457676465
"Disease15"	80	84.5833333333333	86.7781858974359	2.22326620160558	0.860162113086934	0.50736026659752	0.999936459157679
"Disease16"	70	70.3333333333333	70.5025535751012	3.0502067118513	0.90449312058637	0.717949894744372	0.999809849781327
"Disease17"	43	43	43	2.44005457218351	0.885678844657945	0.648743618294176	1
"Disease18"	37	37	37	2.44376634031007	0.840438346940493	0.676771502268944	1
"Disease19"	82	82.6	83.6178781016388	3.05550079794454	0.938145402922147	0.693373148253417	0.999854624750136
"Disease20"	82	88	83.8131709661913	3.03091206079196	0.913740298022011	0.687793319865699	0.999829205807003
"Disease21"	58	58	58	1.45589705278565	0.622999421497736	0.358556209015657	1
"Disease22"	74	74.4615384615385	76.6044600792848	1.95159680530601	0.714705733628492	0.453431061808858	0.999973662378024
"Disease23"	93	93	93.3287598461776	3.06016561501558	0.892898277096421	0.6751458229738	0.999909338168631
"Disease24"	81	81	81.1595744680851	2.14243758443436	0.676878285913544	0.487532682487951	0.999983527435057
"Disease25"	145	160	153.503226406323	3.22255344369465	0.944969350493848	0.647523779748617	0.999833375915044
"Disease26"	89	92.6666666666667	100.084821428571	2.79139045445654	0.896099663655193	0.621879391540714	0.999828047083835
"Disease27"	190	190.25	190.798434321674	3.38752278063482	0.891470915321832	0.645608393262048	0.999958507084915
"Disease28"	89	91.8	94.2258799544283	2.92167754727707	0.917341655203344	0.650905376737261	0.999923351090331
"Disease29"	96	96.0833333333333	96.9191276400367	0.52999560521611	0.148655110210282	0.116116383541211	0.999995438434836
"Disease30"	81	81	81	3.40702593980584	0.946674969894081	0.775302164136609	1
"Disease31"	60	60	60	3.19835868583926	0.939367919510582	0.781165003881216	1
"Disease32"	37	37	37	1.99471112187683	0.682398035832325	0.552411096051787	1
"Disease33"	49	49	49	2.30061522723898	0.74931290568761	0.591141175854359	1
"Disease34"	63	67	68.2421930224416	0.149021875379494	0.0387190316174846	0.0359683875183283	0.999958312489578
"Control1"	66	67.2	67.3612296464346	2.35327614016879	0.845837513134257	0.561687366876101	0.999982244554627
"Control2"	92	92	92.5291776893767	3.07133960065564	0.893515309474476	0.67923113792729	0.999845464379539
"Control3"	99	105.428571428571	107.122417075549	3.03341997492076	0.929605077309181	0.660139468360528	0.999944767554252
"Control4"	85	88	93.2318305882353	2.26575222977983	0.817733196285181	0.510000020026278	0.999771546062025
"Control5"	110	115.5	115.25451882106	3.34574975703975	0.94637138612068	0.711788901702117	0.999214042441708
"Control6"	77	77.3	78.3531303734929	2.89689547030141	0.907767510500316	0.666902678404316	0.999984249322721
"Control7"	69	69	69	2.71542688667531	0.90238545067351	0.641322291663421	1
"Control8"	74	74	74	2.94596793007353	0.92952142906512	0.684461750990944	1
"Control9"	84	85.5	87.0421304119807	3.01062027073061	0.928334081893061	0.679472974715756	0.999970641483584
"Control10"	124	139.6	132.345955216686	3.33836236979907	0.950724363973801	0.692565843792164	0.999817797025887
"Control11"	81	106.5	107.781308411215	2.17005256483817	0.788407698046433	0.493816742089469	0.999707773232028
"Control12"	89	92.75	92.1231607701342	2.24427228865945	0.839039530085211	0.499989775022336	0.999968090028666
"Control13"	87	91.5	92.0072979708081	2.5271756706363	0.858187780710283	0.565881698300064	0.999966826636
"Control14"	55	112.75	95.9507818930041	2.00560603282119	0.79338460861252	0.500483972785718	0.999427157922146
"Control15"	110	115	116.841154376456	3.04312382425991	0.932668384008246	0.647406985551124	0.999939510519121
"Control16"	68	68	68.3685201920792	2.01410492758606	0.760644751670608	0.477331733537383	0.999900398406374
"Control17"	74	74	74.4508300309912	2.49042782048286	0.794579639602773	0.57862224816606	0.999869246861925
"Control18"	67	136	105.452041522491	2.5065812027544	0.872417265004226	0.596138987947583	0.994970662196144
"Control19"	31	32.25	34.8203463203463	0.715679497096795	0.277176593948864	0.208410647588332	0.999659330925939
"Control20"	102	108.066666666667	113.591851162088	2.82592004865113	0.909660256027012	0.611013331912842	0.999794628056741
"Control21"	91	91.1578947368421	92.3044332210999	3.12389817818922	0.933960729834103	0.692528369299934	0.999941258248321
