"Species_ID"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1009417"	"Verrucomicrobia"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Verrucomicrobia bacterium SCGC AAA164-L15"
"1009420"	"Verrucomicrobia"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Verrucomicrobia bacterium SCGC AAA164-O14"
"1009423"	"Verrucomicrobia"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Verrucomicrobia bacterium SCGC AAA168-F10"
"1017270"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Fictibacillus"	"Fictibacillus enclensis"
"1017277"	"Firmicutes"	"Bacilli"	"Bacillales"	"Unclassified"	"Exiguobacterium"	"Exiguobacterium enclense"
"1028989"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. StFLB209"
"1029823"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter sp. P8-3-8"
"1030157"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"Sphingomonas sp. KC8"
"1032505"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"	"Fusobacterium sp. OBRC1"
"1032506"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella sp. MSX73"
"1033734"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus timonensis"
"1033736"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Brevibacteriaceae"	"Brevibacterium"	"Brevibacterium senegalense"
"1033739"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Kurthia"	"Kurthia massiliensis"
"1033740"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Kurthia"	"Kurthia senegalensis"
"1033741"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methylobacteriaceae"	"Microvirga"	"Microvirga massiliensis"
"1033922"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"	"Rhodococcus sp. WB1"
"1033993"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. MOIL14HWK12:I1"
"1033994"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. MOIL14HWK12:I2"
"1034346"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Dielma"	"Dielma fastidiosa"
"1034769"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Paenibacillus"	"Paenibacillus sp. HW567"
"1034943"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Legionellaceae"	"Legionella"	"Legionella massiliensis"
"1034944"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Legionellaceae"	"Legionella"	"Legionella tunisiensis"
"1035308"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Dehalobacter"	"Dehalobacter sp. FTH1"
"1036674"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Idiomarinaceae"	"Idiomarina"	"Idiomarina sp. A28L"
"1038856"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Planococcus"	"Planococcus plakortidis"
"1038866"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Bradyrhizobium"	"Bradyrhizobium sp. WSM2793"
"1038867"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Bradyrhizobium"	"Bradyrhizobium sp. WSM3983"
"1040984"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Phyllobacteriaceae"	"Mesorhizobium"	"Mesorhizobium sp. WSM1293"
"1040985"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Phyllobacteriaceae"	"Mesorhizobium"	"Mesorhizobium sp. WSM2561"
"1040986"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Phyllobacteriaceae"	"Mesorhizobium"	"Mesorhizobium sp. WSM3224"
"1040987"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Phyllobacteriaceae"	"Mesorhizobium"	"Mesorhizobium sp. WSM3626"
"1040988"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Bradyrhizobium"	"Bradyrhizobium sp. WSM4349"
"1040989"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Bradyrhizobium"	"Bradyrhizobium sp. ARR65"
"1041159"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	"Ensifer sp. WSM1721"
"1041504"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Candidatus Arthromitus"	"Candidatus Arthromitus sp. SFB-rat-Yit"
"1042156"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	"Clostridium sp. SY8519"
"1042326"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Rhizobium"	"Rhizobium sp. IBUN"
"1042376"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Ochrovirga"	"Ochrovirga pacifica"
"1042378"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Oceanicola"	"Oceanicola sp. S124"
"1043206"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acidiphilium"	"Acidiphilium sp. PM"
"1043493"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Demequinaceae"	"Demequina"	"Demequina mangrovi"
"1045009"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Citricoccus"	"Citricoccus sp. CH26A"
"1045773"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	"Arthrobacter cupressi"
"1045808"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"	"Rhodococcus sp. YL-1"
"1048205"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces uncialis"
"1048208"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Geobacillus"	"Geobacillus sp. FW23"
"1048380"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XII. Incertae Sedis"	"Fusibacter"	"Fusibacter sp. 3D3"
"1048680"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Rhizobium"	"Rhizobium sp. 42MFCr.1"
"1048983"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Anditalea"	"Anditalea andensis"
"1049584"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"	"Rhodococcus enclensis"
"1050174"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"Corynebacterium epidermidicanis"
"1050222"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Paenibacillus"	"Paenibacillus sp. Aloe-11"
"1054037"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingobium"	"Sphingobium barthaii"
"1054213"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Unclassified"	"Acetobacteraceae bacterium AT-5844"
"1055104"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Halomonadaceae"	"Cobetia"	"Cobetia amphilecti"
"1055192"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Comamonas"	"Comamonas sp. B-9"
"1055352"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces sp. W007"
"1055723"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Muricauda"	"Muricauda antarctica"
"1055770"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	"Arthrobacter sp. CAL618"
"1055790"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	"Pseudoalteromonas sp. AC163"
"1055806"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"Psychrobacter sp. AC24"
"1055808"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"Psychrobacter sp. TB2"
"1055815"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"Psychrobacter sp. TB67"
"1056511"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Photobacterium"	"Photobacterium marinum"
"1056512"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Grimontia"	"Grimontia indica"
"1056807"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Morococcus"	"Morococcus cerebrosus"
"1056816"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Nocardia"	"Nocardia sp. BMG51109"
"1057002"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	"Ensifer sp. BR816"
"1069530"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Paraburkholderia"	"Candidatus Paraburkholderia schumannianae"
"1069631"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Alcaligenes"	"Alcaligenes sp. HPC1271"
