"variable"	"index"
"Disease1"	1.0588635
"Disease2"	0.9444279
"Disease3"	0.0556130000000001
"Disease4"	1.0146674
"Disease5"	1.0608292
"Disease6"	0.7894793
"Disease7"	0.9800087
"Disease8"	1.0443141
"Disease9"	0.5184498
"Disease10"	1.2599087
"Disease11"	0.8997003
"Disease12"	0.8320506
"Disease13"	0.9869616
"Disease14"	0.9009938
"Disease15"	0.6255945
"Disease16"	1.0166377
"Disease17"	1.145656
"Disease18"	1.0178139
"Disease19"	1.4757053
"Disease20"	1.2361189
"Disease21"	1.603501
"Disease22"	1.127559
"Disease23"	1.3897189
"Disease24"	1.1458729
"Disease25"	-0.449458
"Disease26"	0.6490849
"Disease27"	1.2995301
"Disease28"	0.4010734
"Disease29"	1.171771
"Disease30"	0.8324244
"Disease31"	1.6014408
"Disease32"	1.6766956
"Disease33"	1.067309
"Disease34"	1.1965462
"Control1"	-0.6419255
"Control2"	0.7414292
"Control3"	0.057831
"Control4"	1.0961141
"Control5"	-0.4773626
"Control6"	1.0190761
"Control7"	0.572365
"Control8"	-0.0746849999999999
"Control9"	0.9153061
"Control10"	0.271002
"Control11"	1.148312
"Control12"	-0.5080581
"Control13"	0.080192
"Control14"	0.365533
"Control15"	0.1300595
"Control16"	0.5162531
"Control17"	1.3730124
"Control18"	1.6590089
"Control19"	-0.6469568
"Control20"	0.2111855
"Control21"	0.6976773
"Control22"	1.0343459
"Control23"	0.00868200000000008
"Control24"	-0.278263
"Control25"	0.3545249
"Control26"	0.9687773
"Control27"	0.7753821
"Control28"	1.123342
"Control29"	1.3568626
"Control30"	-0.208198
"Control31"	0.9587531
"Control32"	0.3531559
"Control33"	0.5604095
"Control34"	0.746139
