ID	Ion_mode	Q1	Q3	RT	Compound_name	Class_I	Class_II	Disease1	Disease2	Disease3	Disease4	Disease5	Disease6	Disease7	Disease8	Disease9	Disease10	Disease11	Disease12	Disease13	Disease14	Disease15	Disease16	Disease17	Disease18	Disease19	Disease20	Disease21	Disease22	Disease23	Disease24	Disease25	Disease26	Disease27	Disease28	Disease29	Disease30	Disease31	Disease32	Disease33	Disease34	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	Control21	Control22	Control23	Control24	Control25	Control26	Control27	Control28	Control29	Control30	Control31	Control32	Control33	Control34
EPT1345	Negative	539.25122	-	-	unknown	unknown	unknown	213375.423	180549.793	364651.336	529043.016	702103.997	384491.178	45445.911	1277490.175	304075.248	239908.028	560616.427	280291.552	147430.302	239576.444	143018.476	198669.096	317365.684	130867.511	201268.289	559686.685	249799.439	1146675.169	758721.947	511861.968	149150.146	485994.77	1453880.497	215989.852	224565.192	290994.612	456470.998	663138.43	1019453.543	117590.971	835904.123	158082.815	502616.458	181347.233	233393.6	213183.777	502978.422	159359.849	325876.075	450305.534	168267.744	306986.973	348073.08	1432640.637	1295137.266	608597.719	229126.927	214233.412	314771.766	362921.303	583382.236	674379.264	681059.838	206537.24	106747.926	420088.411	508985.119	865941.216	505635.732	515121.855	496450.176	252616.58	534639.417	721672.964
EPT1346	Negative	540.23605	-	-	unknown	unknown	unknown	1921797.535	886150.955	2311572.719	1932466.481	1206978.726	823989.308	28423.793	1938344.949	1027037.664	1059701.907	1290350.727	1695760.994	1094717.662	631801.724	944061.197	155623.553	1308813.247	327270.773	2449362.682	2836028.499	1176873.593	2971364.109	725655.342	443456.219	972529.364	883947.089	770560.983	561052.938	705123.754	976091.546	829426.86	752134.151	1001414.086	656470.584	3727402.644	227367.914	638122.098	105048.457	1072942.317	1178914.785	879271.053	651019.662	495975.605	2141796.564	2300569.003	617024.386	1583180.336	482837.811	900938.524	532567.777	801094.466	871994.948	1738602.685	1541857.253	130954.957	449461.027	409298.426	612217.652	621630.456	420678.432	1011898.242	711168.38	253701.726	2011668.92	265221.193	1514495.662	766291.074	1440555.057
EPT1347	Negative	540.32961	-	-	unknown	unknown	unknown	63358.842	138576.856	58413.583	120044.684	25053.17	121562.36	57613.508	49678.433	83195.841	55087.474	66984.551	90378.686	123127.656	80837.137	91529.474	74929.011	80819.949	91914.387	108952.703	151087.459	157523.099	98687.861	25885.683	103185.219	122136.773	119935.412	65531.245	66615.728	37011.363	75788.631	101615.764	90508.871	68149.091	50907.536	88352.321	85741.958	50222.019	84337.87	94338.458	108294.413	93511.79	66087.321	86632.098	83362.979	39515.314	86808.38	49191.887	105180.668	133828.649	49965.25	60784.781	89245.633	54666.975	47119.349	84302.466	126161.735	118800.969	114313.833	115769.795	49978.919	32935.051	64838.991	93971.149	66110.828	44410.401	115015.396	143738.621	95723.891
EPT1348	Negative	541.20593	-	-	unknown	unknown	unknown	295463.57	251836.88	229484.195	221521.05	214766.384	193417.745	183122.12	219602.916	267109.266	188144.505	192403.378	177014.834	246232.146	203561.274	221586.811	141466.749	241172.077	143694.065	253658.833	301013.984	254837.08	253162.315	424531.587	249412.342	48079.578	316361.45	333043.518	270017.556	159702.072	211769.31	311217.783	296781.714	328270.274	186654.695	231593.03	250861.641	260075.413	170229.3	249402.606	224667.54	490306.884	209711.702	273430.757	134761.507	257953.211	218864.298	320592.81	317538.804	371979.035	422762.457	177435.458	200891.497	199170.599	450814.495	397385.389	312472.896	228423.659	445538.176	304571.839	190103.342	223923.357	257537.512	344964.698	382976.847	267219.8	186939.738	246234.933	152235.899
EPT1349	Negative	542.10592	-	-	unknown	unknown	unknown	87267.272	84678.782	76191.195	144877.313	69392.089	164398.802	124624.587	101678.435	104262.026	75166.413	116963.201	225650.791	76933.423	99572.806	166083.841	156525.278	140888.58	251282.54	92250.069	75086.101	119489.845	95070.213	123598.646	79040.463	105659.518	108319.03	111194.46	70345.433	78703.617	62842.301	102701.367	164020.042	73600.636	101351.596	125837.627	70499.812	137356.347	140466.218	87639.285	106793.808	74989.818	109630.833	92040.962	115418.255	169356.121	92263.803	94210.41	104971.49	76970.921	154557.331	93970.17	77827.362	82793.91	114039.034	222574.284	101212.043	156999.27	89368.29	157247.733	96909.093	86428.954	89483.032	91903.298	124690.884	214141.718	113359.405	148891.231	100509.806
EPT1350	Negative	542.17135	-	-	unknown	unknown	unknown	20483.287	22713.149	8410.802	19284.727	31413.222	20469.228	2381.96	20238.745	27750.238	25206.5	12166.4	11929.959	14940.063	6669.635	25668.274	3113	15555.979	8414.68	16720.746	8459.166	5261.471	39069.206	6939.891	4715.824	5291.383	12092.938	8120.9	8969.854	6296.012	13745.891	4719.62	9712.064	23912.8	2597.181	21393.409	8425.039	6859.725	7906.32	16812.853	15654.973	14141.816	8905.932	21051.216	5264.477	21085.884	28436.148	15575.675	8874.344	2119.142	13685.692	27405.746	6036.291	8930.931	3732.066	16324.885	2878.423	10442.34	6923.633	6038.255	6266.559	37033.606	16219.289	3639.873	13664.756	29437.686	7084.199	26402.699	24476.604
EPT1351	Negative	543.76871	-	-	unknown	unknown	unknown	2635932.842	2218535.704	4404466.423	2300189.895	2243424.047	2647121.996	71694.45	4086867.56	1595120.592	1958774.949	1807295.272	1035241.283	2857966.989	1966895.41	1651533.069	832648.727	1994630.39	1397102.15	1327631.373	2147551.925	1427092.596	812097.86	1106788.079	441431.657	1116937.632	1113396.043	2153742.423	986110.817	687537.722	4339913.811	2563189.391	2409260.834	2678391.606	2157727.403	2387403.329	909435.623	1254783.144	1439737.549	2629646.115	2513851.781	1826497.211	1328491.334	766759.859	2322094.708	611610.188	537190.856	602937.537	990353.5	1064152.9	1089953.524	1229803.072	727622.195	1151072.614	1478732.456	998293.696	2112243.596	1130053.944	879599.454	730849.4	1488868.109	1325294.963	1237700.57	1503163.997	2695215.365	2742051.371	1970717.292	1917661.773	1590969.446
EPT1352	Negative	543.91814	-	-	unknown	unknown	unknown	603149.546	2419420.016	1375755.691	418074.194	1150823.212	431892.961	157916.452	1263636.065	635828.252	945641.943	920944.755	790341.85	916345.44	2612588.071	3620222.515	3541930.849	1301333.17	1412651.051	1276273.743	2286814.166	3413539.418	2312620.549	2083683.682	543309.85	4140903.809	2781454.178	3576783.749	941083.857	6278233.376	907773.599	596193.439	3219039.519	1102096.341	1978141.809	2432750.506	3509421.125	3837317.789	281885.542	778516.746	1854734.029	3798732.482	1665229.486	335485.599	315530.714	740928.783	505493.138	947296.13	1776003.98	856719.945	887682.145	939081.109	704682.862	859649.013	1588750.615	1762622.617	441655.364	876636.91	1836073.04	802141.255	468059.123	468864.426	1236094.804	1324020.009	4375980.925	1970897.093	770714.592	4768007.373	1098527.583
EPT1353	Negative	544.23278	-	-	unknown	unknown	unknown	10533568.57	9166301.491	15090507.31	9344641.27	10720842.8	10097310.74	340901.27	13546914.79	6265971.277	7797010.001	7726378.448	4238050.815	10022300.78	6665775.072	6256590.642	3576241.897	6835538.164	5878925.697	5798740.562	8567895.033	4982728.829	3774864.095	4645171.268	1726936.115	4206639.99	4362747.473	8960990.898	4199804.143	2722533.14	15328457.86	9656839.937	8954759.119	10152477.23	7308439.646	9395368.323	3991864.043	4993178.898	6385239.624	8913320.725	9094822.36	7194796.641	4432724.105	3125893.635	9210496.359	2013603.982	2524304.454	2168295.878	3896506.24	4675940.219	3908949.394	4418547.792	2996705.146	4484073.867	6282080.604	4261387.318	8513268.455	4487805.311	3792036.739	3487658.853	5489890.145	5491039.18	4908226.531	5716478.316	9924042.25	9616560.189	6615336.618	7790569.435	6496113.144
EPT1354	Negative	544.31668	-	-	unknown	unknown	unknown	66206.321	47729.899	28110.879	25149.706	21384.147	42089.879	29638.031	25517.124	21951.305	48480.152	74242.218	24965.248	54050.961	54275.636	29722.752	35226.208	31205.228	105492.581	121962.076	95728.616	33121.817	102737.466	13593.25	26719.032	104472.706	51634.712	52178.807	39670.582	35258.1	50780.74	14104.177	97105.051	81853.44	22380.566	80291.801	52935.281	78546.287	44762.926	96913.087	28139.156	100500.544	64577.08	86861.974	69129.848	9605.565	102485.101	45397.398	35747.228	57426.235	60488.708	24813.662	166116.365	59497.41	13691.233	17710.003	24557.371	60227.453	169000.993	33901.911	56139.402	47016.513	26809.495	36431.482	36194.035	53334.471	75135.518	63191.4	46332.673
