"var"	"estimate"	"conf.low"	"conf.high"	"p.value"	"Group"
"Enterobacteriaceae"	18.5984552680738	5.91226397256374	31.2846465635838	"0.018146298935895"	"Control"
"Alcaligenaceae"	1.32829003378021	0.465797552982446	2.19078251457797	"0.0359142644007336"	"Control"
"Pseudomonadaceae"	0.990508776249851	-1.10250211907576	3.08351967157546	"0.00679929210661068"	"Control"
"Micrococcaceae"	0.364986310866974	-0.0920997924330228	0.82207241416697	"0.0418327016921802"	"Control"
"Eggerthellaceae"	0.178074772817735	0.028449576078849	0.327699969556621	"0.0359142644007336"	"Control"
"Actinomycetaceae"	0.130480097386962	0.0462823524448358	0.214677842329088	"0.00706633328650595"	"Control"
"Porphyromonadaceae"	-0.743553157120604	-2.24044496235146	0.753338648110248	"0.00734261333518027"	"Disease"
"Prevotellaceae"	-1.15174459722012	-2.28203091899212	-0.0214582754481257	"0.00389379216512501"	"Disease"
"Rikenellaceae"	-2.42428018199218	-3.79715208928828	-1.05140827469608	"0.000146204121458948"	"Disease"
"Tannerellaceae"	-2.60317357283168	-4.51590999744993	-0.690437148213438	"0.00234908439973323"	"Disease"
"Bacteroidaceae"	-15.0675114365565	-23.5356120731623	-6.5994107999508	"0.000202052935081576"	"Disease"
